Source,Exercise,Participant,hand,label,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
naama,raise_arms_horizontally,6_1_1.xlsx,right,0,5,0.153982492,0.010893609,1.124097486,0.017080912,0.145669858,0.010424955,17.4,1.140175425,22.6,2.302172887,-1.297528166,0.124764159,0.920905004,0.147606704,-0.447818276,0.437177128,14.93924171,2.794942612,1.65399261,0.091831929,0.939611123,0.03314346,1.388284238,0.348202857,16.23607641,0.769577503,271,0.007577157,0.022329537,0.055147059,0.496323529,0.551470588,0.157066672,0.160141867,0.162624034,54.4,10
naama,raise_arms_horizontally,6_1_2.xlsx,left,0,6,-0.02716988,0.179467571,0.276470695,0.104644707,-0.03164674,0.176592043,5.166666667,1.169045194,25.33333333,35.54527629,-0.681385475,0.561916802,0.754493166,0.585026465,-2.63940176,1.311073493,16.96331601,13.85979034,1.724473902,1.341128892,0.749339888,0.567716612,3.185867093,9.539785136,24.81200086,22.03635834,260,0.007149313,0.016644115,0.17208413,0.114722753,0.057361377,0.121316177,0.131810666,0.13451143,523,1
naama,raise_arms_horizontally,6_1_2.xlsx,right,0,20,0.243538328,0.070454944,0.357833561,0.056450542,0.236148554,0.084941091,5.55,1.605090586,8.4,7.162769238,-0.471974516,0.446579214,0.389783459,0.375987997,-3.428520986,4.111528073,9.248527289,6.676797066,0.555772515,0.504758836,0.277771346,0.231906082,3.056036969,3.753047894,7.339211328,7.684239415,260,0.003544435,0.005540243,1.261950287,0.229445507,0.17208413,0.025437649,0.027039178,0.027931333,174.3333333,3
naama,raise_arms_horizontally,7_1_1.xlsx,left,1,5,0.315178059,0.118527952,0.948956325,0.063503805,0.241942336,0.0195098,30.6,11.8448301,138,90.61456837,-0.191836663,0.078329906,0.480871533,0.128503312,-0.040670978,0.027188347,7.236462891,3.108363057,0.644496268,0.093354721,0.45499521,0.220010947,0.062999131,0.893624269,9.182273816,3.138683239,514,0.004328855,0.024380925,0.029097963,0.058195926,0.174587779,0.208787121,0.23458493,0.372006853,171.8333333,6
naama,raise_arms_horizontally,7_1_1.xlsx,right,1,5,0.323094415,0.2343325,1.123633395,0.074895653,0.241974737,0.035015254,23.2,18.0748444,131,79.55815483,-0.24888706,0.117846003,0.572999791,0.074835714,-0.111812771,0.19305794,6.427286649,1.262486929,1.981588126,2.471004298,0.912562988,0.635572068,5.397380866,10.33891836,28.60380872,36.0851497,514,0.005758909,0.026563783,0.203685742,0.058195926,0.174587779,0.17649207,0.198878749,0.466690444,171.8333333,6
naama,raise_arms_horizontally,7_1_2.xlsx,left,0,11,0.212612969,0.016021233,1.002330155,0.167165469,0.269188823,0.06233663,35.18181818,12.35975875,78.36363636,20.81957121,-0.308604017,0.15348553,0.512653257,0.079778737,-0.106346475,0.131333926,6.520846918,1.40349117,1.054985246,1.496652736,0.769108677,0.800441485,3.991695945,11.28460574,15.59878439,25.14521683,845,0.003185482,0.018036165,0.248080331,0.265800354,0.19492026,0.092306394,0.109959556,0.448679244,153.9090909,11
naama,raise_arms_horizontally,7_1_2.xlsx,right,0,12,0.182370484,0.13218393,1.153645841,0.174618744,0.172729891,0.11393159,24.91666667,15.62316656,65.16666667,18.30466077,-0.462020812,0.099365623,0.669548878,0.139743571,-0.634101743,0.994302679,7.676254664,1.837271514,1.924784982,1.718407386,1.253958661,0.852273042,3.73778134,13.07083549,31.11411375,31.28615828,845,0.004126499,0.020618399,0.159480213,0.265800354,0.19492026,0.095891939,0.12124513,0.513294275,153.9090909,11
naama,raise_arms_horizontally,8_1_1.xlsx,left,0,4,0.172471396,0.010984833,0.803415341,0.18312432,0.165638367,0.052935741,29,5.354126135,73.25,21.14040365,-0.291836804,0.183284736,0.828534607,0.597360429,-1.05276483,1.741175214,10.49941882,10.255324,0.658416255,0.207748229,0.359615074,0.139748132,0.533209989,0.478976983,7.643745013,2.009932664,349,0.006101782,0.025064489,0.257142857,0.171428571,0.214285714,0.128484617,0.282292758,0.29980676,140,5
naama,raise_arms_horizontally,8_1_1.xlsx,right,0,6,0.139658522,0.161261126,0.772868182,0.080302056,0.10084729,0.135270234,18.66666667,11.27238514,35,20.10969915,-0.870559714,0.828753287,2.550093779,1.173255436,-2.200760752,4.626421741,67.22821881,30.23832944,2.004103619,2.22698618,1.270331546,1.376187886,19.54695454,30.3379652,19.19403455,24.58833121,349,0.007619907,0.018916156,0.042857143,0.171428571,0.214285714,0.07624441,0.193370441,0.220940715,140,5
naama,raise_arms_horizontally,8_1_2.xlsx,left,1,5,0.146201806,0.220532892,0.809014768,0.089359125,0.095887584,0.222953372,17.2,17.39827578,23,13.22875656,-1.647400807,2.441838008,2.813779159,1.600214381,-25.4995728,40.87947643,48.03086049,33.76316744,2.479473144,2.086045208,1.450643593,1.323648591,-1.14857572,28.44126274,38.04932983,36.02999874,192,0.014163832,0.029324216,0.077720207,0.155440415,0.233160622,0.078041408,0.128667889,0.352033161,128.6666667,3
naama,raise_arms_horizontally,8_1_2.xlsx,right,1,3,0.217513369,0.076228626,0.764826572,0.190575924,0.293150128,0.037397713,17,11.26942767,32.33333333,26.72701505,-0.58487521,0.475434482,1.703253215,0.673441974,-4.139076373,8.65441628,44.15673963,19.98485308,1.906263116,2.257500077,0.925583949,1.047791164,13.68387681,21.21218122,27.07999968,38.22338449,192,0.009860466,0.027922431,0.388601036,0.155440415,0.233160622,0.082824705,0.149386348,0.332296193,128.6666667,3
naama,raise_arms_horizontally,9_1_1.xlsx,left,0,5,0.273191605,0.007580376,1.030492588,0.093342572,0.339022841,0.10208689,30.6,7.092249291,77.4,10.94531863,-0.267441783,0.06187785,0.61200071,0.047796412,-0.337676105,0.518587053,6.049778673,1.58337469,0.755619116,0.095210334,0.38165688,0.046471245,0.273849153,0.167418975,6.782779942,1.074594905,470,0.004695387,0.023804422,0.127388535,0.159235669,0.191082803,0.139714307,0.263514608,0.360356583,157,6
naama,raise_arms_horizontally,9_1_1.xlsx,right,0,5,0.327374371,0.137656278,0.995964826,0.059701463,0.281926354,0.125110609,23.4,8.561541917,76,13.98213145,-0.288270998,0.090061094,0.662916652,0.116377889,-0.378931289,0.546994284,6.657458117,1.188190817,0.914282524,0.256737754,0.626854022,0.214225915,-0.043075104,0.684560057,11.28608052,6.720129033,470,0.004845367,0.023329924,0.127388535,0.159235669,0.191082803,0.136526286,0.248740021,0.35990988,157,6
naama,raise_arms_horizontally,9_1_2.xlsx,left,0,5,0.260008877,0.013599649,1.119793015,0.041896757,0.276017687,0.037221845,33,7.842193571,78.6,7.829431652,-0.32429922,0.055668856,0.617869487,0.079173096,-0.14685857,0.148082092,5.711641458,0.860077442,0.811654193,0.189690921,0.437981092,0.103035964,0.395024793,0.412000845,7.030719721,0.628862096,528,0.004519804,0.023544859,0.028328612,0.198300283,0.169971671,0.184129072,0.264111163,0.370157582,176.5,6
naama,raise_arms_horizontally,9_1_2.xlsx,right,0,5,0.226560625,0.221821491,1.080360259,0.047546379,0.2943375,0.090709753,29.6,8.905054744,67,9,-0.348116022,0.05057175,0.681197317,0.067203903,-0.294448257,0.2185808,7.571127995,0.731718224,0.918885326,0.388185772,0.797382826,0.384210776,-0.326811725,0.596203877,13.88922214,5.448483195,528,0.005026924,0.022973196,0.028328612,0.198300283,0.169971671,0.171285875,0.261206461,0.357231298,176.5,6
naama,bend_elbows,10_1_1.xlsx,left,1,4,0.042163312,0.023324116,0.964898695,0.027249716,0.091694647,0.032715771,5.25,0.5,52.75,24.54078238,-0.67946744,0.565485031,2.068054983,0.919839045,-4.204473378,5.938693873,33.67555241,14.60651435,4.822697288,0.399438902,2.848841908,0.333648678,37.00028256,2.975960835,68.20081906,9.457152902,274,0.011743085,0.033777624,0.163339383,0.272232305,0.217785844,0.183927376,0.280826111,0.319330494,137.75,4
naama,bend_elbows,10_1_1.xlsx,right,1,4,-0.015846246,0.019075535,0.905480888,0.031994884,-0.027042117,0.005079391,7.25,1.707825128,59.25,34.66386207,-0.774627325,0.802608807,2.22857783,1.037828253,-6.336547741,7.90213226,34.52087228,18.2639859,3.900280815,0.943293954,2.601145126,0.240216197,12.67168112,10.55532848,67.93918861,18.33600562,274,0.01193336,0.034697737,0.217785844,0.163339383,0.272232305,0.24963925,0.277687926,0.283195425,110.2,5
